player_name,projected_points,adp,projected_rush_attempts,projected_rush_yds,projected_rush_td,projected_rec,projected_rec_yds,projected_rec_tds
J.Jefferson,287,8.2,6,36,-,111,1618,11
C.Kupp,281,6.4,5,34,-,129,1469,11
S.Diggs,248,13.1,-,-,-,106,1352,10
J.Chase,239,10.4,7,41,-,95,1330,9
T.Hill,238,20.4,9,51,-,100,1352,8
D.Adams,232,12.9,-,-,-,101,1273,9
A.Brown,215,27.7,8,42,-,84,1208,8
C.Lamb,211,19.9,11,63,-,84,1148,8
J.Waddle,207,48.2,7,36,-,91,1159,7
D.Samuel,206,23.1,63,335,3,70,889,5
T.Higgins,202,34.7,-,-,-,83,1126,8
M.Williams,194,43.3,-,-,-,76,1083,8
A.St. Brown,189,64.6,11,61,-,96,1051,5
C.Olave,184,97.6,-,-,-,74,1054,7
C.Sutton,184,44.7,-,-,-,79,1085,6
C.Kirk,183,100.7,4,23,-,80,991,7
A.Cooper,183,69.1,-,-,-,80,1011,7
M.Thomas,183,67.6,-,-,-,86,979,7
M.Evans,182,26.1,1,6,-,75,1080,6
M.Pittman,182,33.9,6,33,-,93,1021,5
D.Metcalf,181,50.2,4,18,-,74,1066,6
B.Cooks,178,59.9,5,26,-,84,1036,5
A.Lazard,177,89.8,2,17,-,68,935,8
T.McLaurin,177,42,4,19,-,78,1058,5
T.Lockett,176,104.9,-,-,-,77,1016,6
J.Smith-Schuster,176,66.7,7,30,-,88,989,5
D.Smith,175,88.5,1,5,-,74,1013,6
K.Allen,173,30.3,-,-,-,82,901,7
C.Samuel,173,235.1,36,193,1,77,832,4
C.Godwin,172,65.7,2,12,-,79,957,6
D.Johnson,172,48.9,12,54,-,91,907,5
D.London,171,93.9,-,-,-,79,959,6
B.Aiyuk,170,94.3,6,35,-,69,956,6
G.Davis,169,68.5,2,12,-,61,951,7
J.Jeudy,168,51.4,5,26,-,73,929,6
R.Bateman,168,78.2,-,-,-,78,927,6
D.Hopkins,167,83.9,-,-,-,86,904,6
M.Gallup,160,130.9,-,-,-,65,913,6
D.Mooney,158,72.7,7,38,-,67,906,5
J.Meyers,157,172.6,1,8,-,82,864,5
D.Moore,157,40.1,15,75,-,70,902,4
A.Thielen,156,69,-,-,-,76,823,6
R.Doubs,151,143.8,-,-,-,68,812,6
H.Brown,151,57.9,3,17,-,70,863,5
G.Wilson,151,122.4,-,-,-,71,852,5
M.Valdes-Scantling,148,121.9,-,-,-,61,818,6
Z.Jones,148,999,1,12,-,79,833,4
C.Watson,147,166.6,-,-,-,55,650,9
C.Claypool,145,110.8,13,65,-,61,777,5
T.Burks,144,107.2,-,-,-,60,783,6
J.Palmer,144,184,2,19,-,70,767,5
E.Moore,141,90.3,9,47,-,61,762,5
T.Boyd,140,125.5,3,17,-,67,766,5
G.Pickens,138,114.5,-,-,-,58,732,6
N.Brown,138,999,-,-,-,64,762,5
D.Chark,138,168,-,-,-,56,801,5
M.Hollins,138,999,-,-,-,60,776,5
R.Moore,137,152.7,17,98,1,64,673,4
A.Pierce,137,197.5,-,-,-,62,756,5
M.Hardman,136,178.5,17,88,1,58,697,4
D.Duvernay,135,999,17,99,1,56,612,5
J.Dotson,135,150.5,-,-,-,66,778,4
R.Gage,134,163.5,-,-,-,64,744,5
J.Jones,134,124,-,-,-,56,701,6
R.Woods,133,106.9,7,42,1,61,707,4
D.Peoples-Jones,132,237.4,2,12,-,51,757,5
