Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
CeeDee Lamb,DAL,116.1,1488.10,9.7,9.8,68.2,0.8,1.1,274.6
Tyreek Hill,MIA,110.2,1541.80,9.8,5.2,30.5,0.1,1,270.1
Ja'Marr Chase,CIN,106.6,1358.00,9.1,3,12.6,0.1,0.7,244
Amon-Ra St. Brown,DET,111,1354.40,8.2,4.5,31.1,0.1,0.9,241.9
Justin Jefferson,MIN,104.8,1443.00,7.4,1.2,3.8,0,1,239.4
A.J. Brown,PHI,94.4,1342.10,8.6,0,1.4,0,1.3,230.4
Puka Nacua,LAR,94.6,1297.20,7.2,8.9,54.7,0.2,0.7,225.2
Garrett Wilson,NYJ,95.3,1188.30,8.1,3.9,19.2,0.1,1.3,215
Chris Olave,NO,89.8,1204.90,6.5,0,1,0,0.6,203.6
Marvin Harrison Jr.,ARI,88.3,1177.40,6.8,0.5,3.6,0,1.5,199.9
Drake London,ATL,88.1,1148.90,7,0,2.2,0,0.9,199.4
Mike Evans,TB,75.6,1120.80,8.4,0,1.2,0,0.5,199.4
Davante Adams,LV,93.3,1129.60,6.5,0,1,0,0.5,197.4
Nico Collins,HOU,78.4,1148.90,7.2,1.4,8.6,0,0.5,197.3
Deebo Samuel Sr.,SF,67,925.7,5.9,33.9,199.4,3,1,197.2
Cooper Kupp,LAR,85.8,1059.40,7.3,2.9,17.4,0.1,0.5,193.4
DeVonta Smith,PHI,85.5,1093.10,7.2,0,1.2,0,0.9,193.3
DK Metcalf,SEA,73.9,1069.60,8.1,0,1.2,0,0.5,191.6
Brandon Aiyuk,SF,74.2,1117.20,7.1,0.8,4,0,0.9,190.2
Jaylen Waddle,MIA,81.4,1114.50,5.7,3.6,21.1,0.1,0.5,187.6
DJ Moore,CHI,75.5,1036.80,7,2.3,15.1,0.2,0.9,184.3
Stefon Diggs,HOU,85,1029.00,6.6,1.9,9.1,0.1,1,184.1
Amari Cooper,CLE,73.2,1106.80,6.3,0,1,0,0.9,183.1
Michael Pittman Jr.,IND,96.5,1061.60,5,0.3,3,0,1,182.8
George Pickens,PIT,70.8,1089.40,6.1,2.6,16.9,0,0.9,180.8
Malik Nabers,NYG,80.2,1067.80,5.9,0.5,5,0,1.2,180.3
Zay Flowers,BAL,79.6,965.1,6.2,7.4,46.3,0.6,1,179.6
Tee Higgins,CIN,70.5,1012.80,7.3,0,1,0,0.5,179.5
Tank Dell,HOU,69.1,942.5,7,11.1,61.5,0.2,0.6,176.4
Chris Godwin,TB,83.1,988.8,5.3,2.7,20.9,0.3,0.5,174.5
Calvin Ridley,TEN,70.6,966.4,6.9,2.9,14.8,0,0.5,173.7
Christian Kirk,JAC,80.9,1008.00,5.4,1,6.4,0,1.3,171.9
Rashee Rice,KC,75.7,898,6.9,1.5,7,0,1,167.9
Terry McLaurin,WAS,73.8,985.1,4.6,0.3,2.2,0,0.5,162.2
Diontae Johnson,CAR,72.8,906.3,5.8,1,7.2,0,0.6,161.1
Keenan Allen,CHI,79.3,889.6,5.6,1,6.3,0,1,160.8
Jayden Reed,GB,64.2,797.6,5.9,8.9,73.3,1.2,0.6,160.3
DeAndre Hopkins,TEN,63.8,840.5,5.7,0.3,2.8,0,0.5,149.2
Christian Watson,GB,53.4,776.4,6.9,4.1,24.3,0.3,0.5,149.1
Jordan Addison,MIN,64.2,828.1,5.7,0.3,4,0,0.5,148.4
Xavier Worthy,KC,56.2,823.3,5.8,3.3,19.8,0.1,0.8,146.4
Courtland Sutton,DEN,63.2,813.7,5.9,0,1.2,0,1.3,145.7
Rome Odunze,CHI,61.8,840.4,5.4,1,6.4,0,1.1,145.5
Ladd McConkey,LAC,66.8,832.1,5.1,1.1,6.7,0,1.1,145.5
Jaxon Smith-Njigba,SEA,71.2,780.2,5.2,0,2,0,0.6,143.7
Hollywood Brown,KC,58.5,766.7,6.1,1.4,10.5,0,0.4,142.7
Brian Thomas Jr.,JAC,62.7,825.8,5,0.7,5.8,0,1.1,142.3
Jerry Jeudy,CLE,62.2,850.8,4.3,0.3,5.3,0,0.6,141.4
Tyler Lockett,SEA,67.4,778,5.1,0,1.2,0,0.5,141.4
Jameson Williams,DET,53.8,758.7,4.7,4.5,42,0.7,0.6,138.5
Khalil Shakir,BUF,60.4,785.2,4.9,0.3,4,0,0.2,137.9
Curtis Samuel,BUF,61.1,664.5,4.6,11.4,66.7,1,0.5,136.2
Jakobi Meyers,LV,64.8,729.3,4.6,2.4,15.6,0.3,0.5,135.2
Brandin Cooks,DAL,57,695.5,5.6,3.4,20.5,0.1,0.5,133.1
Joshua Palmer,LAC,60.1,761.9,4.6,0.3,2.8,0,0.8,132.7
Mike Williams,NYJ,56.2,752.8,4.8,2.3,9.2,0,0.5,132.6
Keon Coleman,BUF,55.9,746,5,1,4.8,0,1.1,130.8
Adam Thielen,CAR,69.2,696.3,4.5,0.3,3,0,0.6,130.2
Romeo Doubs,GB,55.9,687.6,5.6,0,1.5,0,0.5,129.5
