"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","89.5","967.4","7.5","0.8","185.7"
"Sam LaPorta","DET","86.3","893.8","7.7","0.4","178.0"
"Mark Andrews","BAL","71.9","870.1","7.9","0.5","169.4"
"Trey McBride","ARI","86.0","881.6","5.1","0.5","160.4"
"George Kittle","SF","65.4","881.4","6.0","0.4","156.1"
"Dalton Kincaid","BUF","83.1","830.5","5.4","0.8","155.4"
"Kyle Pitts","ATL","68.0","878.0","5.2","0.4","151.9"
"Evan Engram","JAC","85.3","786.6","4.4","0.9","145.6"
"Jake Ferguson","DAL","70.8","736.3","5.9","0.4","143.5"
"David Njoku","CLE","70.1","772.5","5.4","1.2","142.5"
"Dallas Goedert","PHI","66.6","703.4","4.1","0.5","127.6"
"Brock Bowers","LV","62.4","692.4","4.6","1.1","125.7"
"Dalton Schultz","HOU","57.3","610.7","4.9","0.8","117.5"
"Pat Freiermuth","PIT","59.0","613.9","4.4","0.5","116.3"
"T.J. Hockenson","MIN","59.7","596.0","3.3","0.8","107.8"
"Cole Kmet","CHI","55.7","550.2","4.3","0.5","107.8"
"Tyler Conklin","NYJ","53.6","534.2","3.4","0.1","100.2"
"Hunter Henry","NE","46.6","482.4","4.2","0.1","96.7"
"Cade Otton","TB","48.8","485.2","3.7","0.4","94.5"
"Chigoziem Okonkwo","TEN","49.6","528.1","2.7","0.4","92.9"
"Luke Musgrave","GB","46.7","489.7","3.4","0.1","92.5"
"Taysom Hill","NO","27.5","261.5","2.1","0.3","91.7"
"Juwan Johnson","NO","40.5","441.4","4.1","0.1","89.1"
"Noah Fant","SEA","44.9","481.0","2.8","0.1","87.0"
"Isaiah Likely","BAL","32.2","388.1","3.7","0.0","77.1"
"Jonnu Smith","MIA","37.8","415.6","2.8","0.4","76.7"
"Hayden Hurst","LAC","40.6","391.2","2.9","0.1","76.4"
"Mike Gesicki","CIN","36.4","356.9","3.1","0.1","72.7"
"Ben Sinnott","WAS","37.2","386.4","2.6","0.4","72.3"
"Tucker Kraft","GB","34.0","354.5","2.6","0.1","67.7"
"Zach Ertz","WAS","35.7","332.8","2.5","0.1","65.9"
"Greg Dulcich","DEN","33.8","374.4","1.9","0.1","65.9"
"Tyler Higbee","LAR","33.9","347.4","2.1","0.1","64.2"
"Dawson Knox","BUF","28.3","297.9","3.3","0.1","63.5"
"Daniel Bellinger","NYG","35.3","334.0","2.1","0.1","63.2"
"Colby Parkinson","LAR","29.1","307.5","2.5","0.1","59.9"
"Ja'Tavion Sanders","CAR","29.9","311.6","2.3","0.4","59.1"
"Michael Mayer","LV","30.0","320.7","2.0","0.1","59.0"
"Gerald Everett","CHI","29.8","275.4","2.2","0.1","55.6"
"Tommy Tremble","CAR","27.5","261.8","2.5","0.1","54.6"
"Theo Johnson","NYG","28.3","273.2","1.8","0.6","51.1"
"Jelani Woods","IND","22.7","263.7","1.8","0.1","48.1"
"Kylen Granson","IND","23.8","258.0","1.5","0.0","46.7"
"Noah Gray","KC","22.6","237.3","1.7","0.1","45.3"
"Will Dissly","LAC","23.5","226.1","1.5","0.1","43.2"
"Brevin Jordan","HOU","14.7","188.1","1.9","0.0","37.4"
"Robert Tonyan","MIN","20.1","189.7","1.4","0.0","37.2"
"Durham Smythe","MIA","19.5","190.0","1.3","0.0","36.3"
"Donald Parham Jr.","LAC","15.2","158.7","2.1","0.0","36.0"
"Tanner Hudson","CIN","18.6","179.4","1.4","0.0","35.8"
"Jaheim Bell","NE","16.5","172.0","1.5","0.0","34.5"
"Adam Trautman","DEN","17.0","166.8","1.5","0.0","34.4"
"Austin Hooper","NE","19.5","184.6","0.9","0.0","33.7"
"Mo Alie-Cox","IND","13.8","155.5","1.8","0.0","33.5"
"Brock Wright","DET","15.7","149.5","1.5","0.1","31.9"
"Elijah Higgins","ARI","16.3","177.8","1.0","0.0","31.8"
"Jeremy Ruckert","NYJ","16.2","161.3","1.2","0.1","31.2"
"Josh Oliver","MIN","16.1","157.0","1.2","0.4","30.3"
"Johnny Mundt","MIN","16.8","161.0","0.8","0.0","29.4"
"Foster Moreau","NO","12.5","139.2","1.0","0.0","26.3"
"Davis Allen","LAR","13.1","134.4","1.0","0.0","26.0"
"Will Mallory","IND","13.5","138.6","0.9","0.0","25.9"
"Connor Heyward","PIT","15.3","137.6","0.7","0.0","25.7"
"Josh Whyle","TEN","12.5","127.9","1.1","0.0","25.4"
"Pharaoh Brown","SEA","12.0","132.0","0.9","0.0","24.7"
"Devin Culp","TB","12.0","124.5","1.0","0.0","24.5"
"Dallin Holker","NO","12.0","123.5","1.0","0.0","24.4"
"Tanner McLachlan","CIN","12.0","123.0","1.0","0.0","24.3"
"Jack Stoll","NYG","13.1","122.1","0.9","0.0","24.2"
"Trey Knox","MIN","12.0","119.0","1.0","0.0","23.9"
"Peyton Hendershot","DAL","11.9","119.2","1.0","0.0","23.9"
"John FitzPatrick","ATL","11.0","118.0","1.0","0.0","23.3"
"Brayden Willis","SF","10.0","121.0","1.0","0.0","23.1"
"AJ Barner","SEA","11.6","118.8","0.9","0.0","23.0"
"Luke Schoonmaker","DAL","10.8","111.0","1.1","0.0","22.9"
"Darnell Washington","PIT","12.0","119.7","0.8","0.0","22.8"
"Ian Thomas","CAR","12.6","128.8","0.6","0.0","22.5"
"Travis Vokolek","ARI","11.0","102.0","1.0","0.0","21.7"
"Irv Smith Jr.","KC","10.8","102.5","1.0","0.0","21.5"
"Eric Saubert","SF","10.0","99.0","1.0","0.0","20.9"
"Jordan Akins","CLE","10.4","103.8","0.9","0.0","20.8"
"Stone Smartt","LAC","9.5","108.9","0.8","0.0","20.6"
"Drew Ogletree","IND","10.1","107.0","0.8","0.1","20.3"
"Erick All Jr.","CIN","10.3","103.3","0.8","0.0","20.2"
"Cade Stover","HOU","9.9","105.7","0.8","0.0","20.1"
"La'Michael Pettway","NE","10.0","91.0","1.0","0.0","20.1"
"Brenton Strange","JAC","9.7","92.0","1.0","0.0","20.1"
"Teagan Quitoriano","HOU","6.5","100.6","1.1","0.0","19.8"
"Jared Wiley","KC","9.6","98.5","0.8","0.0","19.4"
"Drew Sample","CIN","10.5","94.2","0.8","0.0","19.2"
"Tip Reiman","ARI","9.8","97.8","0.7","0.0","18.9"
"Lucas Krull","DEN","9.8","100.8","0.6","0.0","18.7"
"Payne Durham","TB","9.2","96.8","0.7","0.0","18.6"
"Quintin Morris","BUF","7.0","75.0","1.1","0.0","17.4"
"Cameron Latu","SF","7.6","87.3","0.7","0.0","16.8"
"MyCole Pruitt","PIT","6.2","67.7","1.1","0.0","16.8"
"James Mitchell","DET","8.0","83.3","0.7","0.0","16.4"
"Ben Sims","GB","6.5","56.5","1.1","0.0","15.4"
"Miller Forristall","LAR","7.5","78.5","0.6","0.0","15.4"
"Ross Dwelley","ATL","6.0","83.9","0.7","0.0","15.3"
"Harrison Bryant","LV","7.7","76.4","0.6","0.0","15.3"
"Grant Calcaterra","PHI","7.4","76.2","0.6","0.0","15.0"
"Luke Farrell","JAC","7.4","74.9","0.6","0.0","14.5"
"Armani Rogers","PHI","6.5","76.5","0.6","0.0","14.4"
"John Bates","WAS","8.1","76.9","0.4","0.0","14.1"
"Giovanni Ricci","CLE","7.3","72.7","0.5","0.1","14.1"
"Nick Vannett","TEN","6.3","69.9","0.6","0.0","13.6"
"Cole Turner","WAS","6.0","68.8","0.6","0.0","13.3"
"C.J. Uzomah","PHI","6.1","59.2","0.7","0.0","13.2"
"Albert Okwuegbunam Jr.","PHI","6.4","62.5","0.6","0.0","13.0"
"Lawrence Cager","NYG","7.6","66.4","0.4","0.0","12.6"
"Cole Fotheringham","LV","5.9","57.8","0.6","0.0","12.2"
"Charlie Woerner","ATL","6.2","60.6","0.5","0.1","12.0"
"Hunter Long","LAR","5.4","55.3","0.6","0.0","11.8"
"Ko Kieft","TB","5.6","56.6","0.5","0.1","11.1"
"John Stephens Jr.","DAL","4.0","41.0","0.3","0.0","8.1"
"Josiah Deguara","JAC","4.6","43.8","0.1","0.0","7.4"
"Kenny Yeboah","NYJ","3.9","37.0","0.3","0.0","7.3"
"Charlie Kolar","BAL","3.4","34.6","0.1","0.0","5.7"
"Dalton Keene","HOU","2.0","21.2","0.2","0.0","4.2"
"Tre' McKitty","BUF","2.1","20.8","0.2","0.0","4.1"
"Shane Zylstra","DET","2.0","20.0","0.2","0.0","4.0"
"Tyler Davis","GB","2.0","19.9","0.2","0.0","4.0"
"Jody Fortson Jr.","MIA","2.1","19.7","0.2","0.0","4.0"
"Tommy Hudson","NO","2.0","19.5","0.2","0.0","4.0"
"Julian Hill","MIA","2.1","19.2","0.2","0.0","4.0"
"Brady Russell","SEA","2.0","19.0","0.2","0.0","3.9"
"Zack Kuntz","NYJ","1.9","18.2","0.2","0.0","3.8"
"Eric Tomlinson","IND","1.8","17.7","0.2","0.0","3.7"
"Zach Gentry","LV","1.8","15.8","0.2","0.0","3.5"
"Rodney Williams","PIT","1.7","15.8","0.2","0.0","3.4"
"Nate Adkins","DEN","1.8","15.8","0.2","0.0","3.4"
"Chris Manhertz","NYG","1.9","16.8","0.1","0.0","3.3"
"Mitchell Wilcox","NE","1.8","17.5","0.1","0.0","3.0"
"Anthony Firkser","NYJ","0.2","2.2","0.0","0.0","0.4"
""
""
