player_name,projected_points,adp,projected_rush_attempts,projected_rush_yds,projected_rush_td,projected_rec,projected_tgts,projected_rec_yds,projected_rec_tds
J.Jefferson,289,1.6,6,33,,116,,1674,10
J.Chase,267,3.4,8,44,,105,,1501,10
T.Hill,254,6.8,16,88,,102,,1424,9
D.Adams,241,16.9,1,5,,102,,1292,10
S.Diggs,241,11.4,2,12,,108,,1334,9
A.Brown,238,12.5,8,45,,88,,1350,9
C.Lamb,233,15,13,71,,96,,1256,9
A.St.Brown,213,17.5,9,56,,105,,1148,7
J.Waddle,205,22.3,7,41,,83,,1194,7
G.Wilson,201,21.7,7,45,,91,,1112,7
C.Ridley,198,38.1,,,,82,,1146,7
C.Olave,196,26.3,1,5,,81,,1152,7
D.Smith,196,30.7,1,7,,84,,1130,7
T.Higgins,195,28.7,1,5,,83,,1131,7
C.Kupp,192,16.5,4,18,,89,,1054,7
D.Samuel,189,35.4,38,205,2,70,,932,5
C.Godwin,188,65.9,2,10,,91,,1074,6
D.Metcalf,187,35.9,3,19,,79,,1034,7
P.Nacua,186,248.5,,,,87,,1004,7
M.Evans,186,74,1,6,,74,,1079,7
D.Moore,185,50.9,13,68,,77,,1032,6
A.Cooper,184,43.2,,,,79,,1048,7
K.Allen,182,41.6,2,11,,91,,1016,6
D.London,182,56.4,,,,87,,1046,6
T.McLaurin,182,53.6,6,31,,78,,1059,6
D.Hopkins,178,49.8,,,,86,,1005,6
B.Aiyuk,176,66.2,7,39,,70,,974,7
T.Lockett,176,69.1,1,9,,72,,986,7
J.Jeudy,175,76.5,5,26,,73,,959,7
M.Williams,174,68.9,1,7,,68,,996,7
C.Kirk,170,71.3,3,20,,77,,957,6
M.Pittman,168,80.8,6,30,,85,,944,5
G.Pickens,165,76.9,2,13,,68,,939,6
N.Collins,163,166.4,,,,72,,907,6
J.Dotson,160,85.1,,,,66,,932,6
H.Brown,160,79.3,3,20,,76,,921,5
J.Addison,155,83.5,5,52,,71,,865,5
C.Watson,151,60.3,6,39,,59,,838,6
B.Cooks,151,93.7,2,12,,66,,885,5
G.Davis,147,94.3,2,13,,52,,795,7
M.Thomas,145,99,,,,73,,808,5
C.Sutton,141,109.4,,,,59,,834,5
S.Moore,141,124.8,11,61,,65,,719,5
T.Burks,140,107.7,,,,62,,808,5
T.Atwell,140,999,7,39,,56,,776,5
J.Meyers,140,154.6,1,7,,67,,773,5
T.Dell,138,188.8,1,10,,58,,718,6
Z.Flowers,138,97.2,8,44,,57,,749,5
D.Johnson,138,80.1,10,55,,73,,736,4
J.Smith-Schuster,135,107.1,6,28,,71,,749,4
R.Bateman,135,125.2,,,,57,,780,5
T.Boyd,133,148.9,2,16,,60,,736,5
O.Beckham,132,113.2,2,12,,58,,714,5
J.Williams,132,134.4,5,29,1,45,,681,5
J.Smith-Njigba,131,84.1,2,13,,68,,681,5
K.Toney,131,101.9,13,80,1,54,,621,5
