QB,RB1,RB2,WR1,WR2,TE,FLX,K,DEF,W,L,total,team
17.74,7.80,12.0,20.10,28.9,3.40,21.20,13.0,14.0,1,0,138.14,1
3.18,18.90,9.5,19.50,6.5,5.10,5.70,0.0,14.0,0,1,82.38,2
14.54,17.30,9.8,14.20,3.5,0.00,8.90,13.0,14.0,0,1,95.24,3
19.54,9.80,11.9,6.60,9.8,7.40,6.30,8.0,12.0,0,1,91.34,4
12.50,8.10,7.0,15.20,12.2,6.40,21.20,0.0,13.0,1,0,95.60,5
6.32,24.40,7.4,9.70,0.0,6.80,8.70,5.0,4.0,0,1,72.32,6
9.04,10.70,25.7,11.40,9.6,7.50,8.80,5.0,14.0,1,0,101.74,7
20.86,12.90,7.7,11.90,16.1,0.90,11.20,-2.0,9.0,1,0,88.56,8
6.56,24.40,8.8,11.20,5.3,1.40,11.90,7.0,5.0,0,1,81.56,9
27.14,14.70,0.4,39.00,5.2,5.40,5.90,3.0,0.0,1,0,100.74,10
9.24,24.20,25.2,4.20,5.8,4.50,16.40,8.0,10.0,0,1,107.54,1
15.38,5.20,4.5,19.40,3.7,10.60,16.60,10.0,10.0,0,1,95.38,2
14.74,19.20,6.2,21.10,13.4,8.60,20.70,4.0,3.0,1,0,110.94,3
21.20,25.60,13.5,5.60,10.4,8.70,25.00,5.0,10.0,1,0,125.00,4
25.22,7.40,9.1,10.10,10.5,10.60,11.60,10.0,10.0,1,0,104.52,5
17.74,11.90,7.5,19.80,24.9,0.70,17.90,5.0,1.0,1,0,106.44,6
23.66,3.90,0.0,4.90,17.4,22.10,19.10,10.0,4.0,0,1,105.06,7
22.20,17.00,6.8,15.30,11.2,13.00,27.10,7.0,4.0,1,0,123.60,8
22.88,3.40,21.0,9.60,11.7,5.40,2.90,12.0,0.0,0,1,88.88,9
12.26,6.40,18.8,12.50,4.0,2.50,4.80,6.0,17.0,0,1,84.26,10
14.36,13.60,41.7,5.50,9.0,12.50,6.90,15.0,-5.0,0,1,113.56,1
25.68,15.80,18.6,24.40,0.0,16.40,23.00,11.0,16.0,1,0,150.88,2
10.66,8.00,14.7,9.50,21.6,6.60,4.80,10.0,10.0,0,1,95.86,3
25.68,7.50,6.7,20.10,9.8,10.20,14.30,12.0,32.0,1,0,138.28,4
19.88,12.20,8.7,15.10,14.4,3.50,9.50,11.0,15.0,1,0,109.28,5
14.36,18.10,29.1,8.20,3.1,18.40,12.00,4.0,13.0,0,1,120.26,6
21.32,2.20,21.5,17.60,35.7,9.80,14.50,6.0,10.0,1,0,138.62,7
29.30,2.00,7.0,9.70,15.1,5.50,36.46,9.0,12.0,1,0,126.06,8
28.18,13.50,20.4,12.20,8.2,1.60,15.20,6.0,-5.0,0,1,100.28,9
28.36,9.30,5.7,26.20,4.4,4.00,21.10,18.0,-2.0,0,1,115.06,10
